,Unnamed: 0,Question,Answer,lang,portal,instruction
248,248,What Is the Password of e-Aadhaar?,"Password of eAadhaar is a combination of the first 4 letters of name in CAPITAL and the year of birth (YYYY).
For Example:
Example 1Name: SURESH KUMARYear of Birth: 1990Password: SURE1990
Example 2Name: SAI KUMARYear of Birth: 1990Password: SAIK1990
Example 3Name: P. KUMARYear of Birth: 1990Password: P.KU1990
Example 4Name: RIAYear of Birth: 1990Password: RIA1990",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
249,249,What supporting software needed to view e-Aadhaar?,Resident needs 'Adobe Reader' to view digitally verified e-Aadhaar. To install Adobe Reader in the System visit https://get.adobe.com/reader/,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
250,250,How to validate digital signatures in e-Aadhaar?,Please visit Aadhaar YouTube Channel and watch tutorial link on https://youtu.be/aVNfUNIccZs?si=ByW1O6BIPMwc0seL,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
251,251,What is Virtual ID (VID)?,"VID is a temporary, revocable 16-digit random number mapped with the Aadhaar number. VID can be used in lieu of Aadhaar number whenever authentication or e-KYC services are performed. Authentication may be performed using VID in a manner similar to using Aadhaar number. It is not possible to derive Aadhaar number from VID.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
252,252,How does a resident obtain VID?,"VID can be generated only by the Aadhaar number holder. They can also replace (generate a new VID) their VID from time to time. At any given time only one VID will be valid for an Aadhaar number. UIDAI provide various options to Aadhaar number holders to generate their VID, retrieve their VID in case they forget, and replace their VID with a new number. These options will be made available via UIDAI’s website (www.myaadhaar.uidai.gov.in), eAadhaar download, mAadhaar mobile application, etc.
VID can also be generated by sending an SMS to the Aadhaar helpline number 1947. Resident will have to type “GVIDLast 4 digits of Aadhaar Number” and send it to 1947 through the registered Mobile Number.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
253,253,Can anyone else generate VID for me?,No other entity like AUA/KUA can generate VID on behalf of Aadhaar number holder. The VID can be generated by Aadhaar number holder by himself/herself only. Aadhaar number holder will receive the VID through SMS on registered mobile number.,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
254,254,What if an Aadhaar number holder forgets VID? Can he/she obtain again?,"Yes, UIDAI provide multiple ways to generate new and/or retrieve current VID. These options are made available via UIDAI’s website (www.myaadhaar.uidai.gov.in), eAadhaar, mAadhaar mobile application, SMS, etc.
For retrieval of VID, Aadhaar number holder may send SMS to the Aadhaar helpline number 1947. Resident will have to type “RVID Last 4 digits of Aadhaar Number” and send it to 1947 through the registered Mobile Number.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
255,255,Can VID be used for OTP or biometrics or demographics authentication?,Yes. VID can be used in lieu of Aadhaar number to perform Aadhaar Authentication.,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
256,256,"In case of VID, do I need to provide consent for authentication?","Yes, Aadhaar number holder consent is necessary for VID based authentication. Agency is required to inform the Aadhaar number holder the purpose for authentication and collect explicit consent for performing authentication.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
257,257,Can an agency store VID?,"No. Since VID is temporary and can be changed by the Aadhaar number holder, storing VID has no value. Agencies should not store VID in any database or logs.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
258,258,Will re-generation of VID lead to the same VID or a different VID?,"After the minimum validity period (currently set as 1 calender day or after midnight 12), Aadhaar number holder may requests regeneration of a new VID. In this way, new VID will be generated and the previous VID will be deactivated. In case, if resident opts for retrieval of VID, the last active VID will be sent to the Aadhaar number holder through SMS. Resident will have to type “RVIDLast 4 digits of Aadhaar Number” and send it to 1947 through the registered Mobile Number.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
259,259,What is the expiry period of VID?,At this time there is no expiry period defined for VID. VID will be valid till the time a new VID is generated by the Aadhaar number holder.,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
260,260,How can I update my demographic details in Aadhaar?,You can update your demographic details in Aadhaar 1 - By enrolling through nearest enrolment centre. You can search the nearest enrolment centre by clicking https://bhuvan.nrsc.gov.in/aadhaar/2- Using Online services for address update and document update available at https://myaadhaar.uidai.gov.in/ .,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
261,261,Is it necessary that my mobile number should be registered with Aadhaar while requesting for any kind of update through online?,"Yes, mobile number should be registered to Aadhaar for using online services.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
262,262,Where can I Update my Mobile Number? ,"You can update your mobile number by visiting a Aadhaar Enrolment Centere, you can locate the centre at Bhuvan Aadhaar Portal",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
263,263,How do I add my father’s / husband’s name to my address? ,Relationships details are not collected in Aadhaar. However you have option to add name of your father/husband/etc  in C/o field. This will be part of your address and no documentary support is required for the same.,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
264,264,Can I update my address in my local language through online portal?,"You have to enter the details in English, which shall be transliterated into your selected regional language. You can update for any correction in transliteration if required. The following regional languages are available for update of address through online.
Bengali, Gujarati, Hindi, Kannada, Malayalam, Marathi, Odia, Punjabi, Tamil, Telugu and Urdu.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
265,265,I successfully submitted my address update request. How can I track this?,"On successful submission of an online address update request,  a SRN (Service Request Number) is generated, which is shown on screen and also sent via SMS to your registered mobile number. After successful submission of the request, please download the invoice containing the SRN number and other details. The status of the update request can be checked at the bottom of the page by login in to Check Aadhaar Update Status",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
267,267,What is Aadhaar Authentication history?,Aadhaar Authentication history service hosted on UIDAI Website provides detailed authentication transactions logs for Aadhaar authentication performed by the individual resident in last six months & maximum 50 records can be viewed at instance.,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
268,268,Where can a resident check his/her Aadhaar Authentication history?,Authentication History service is hosted on UIDAI Website at URL https://resident.uidai.gov.in/aadhaar-auth-history OR resiedent may use this service through mAadhaar App,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
269,269,What is the procedure for checking Aadhaar Authentication history on UIDAI websites?,"Resident can check his/her Aadhaar Authentication history from UIDAI Website https://resident.uidai.gov.in/aadhaar-auth-history or through mAadhaar App by using his/her Aadhaar Number/VID & enter security code and follow the metioned procedure.
Note: Registered mobile number is mandatory to avail this service.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
270,270,What Information resident can get from Aadhaar Authentication history?,Resident can get the following information in Aadhaar Authentication history against every Authentication done by resident.                1. Auth Modality.2. Date & Time of Authentication.3. UIDAI Response code.4. AUA Name5. AUA Transaction ID (With Code)6. Authentication Response (Success/Failure)7. UIDAI Error code,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
271,271,This facility allows me to view maximum 50 authentication records. How can I check more records?,"Aadhaar number holder can view details of all authentication records performed by any Authentication User Agency (AUA) or by him/her in the last 6 months. However, maximum of 50 records can be viewed at one point of time. If Aadhaar number holder want to check more records then he/she may require to select the date range in calendar & accordingly authentication records can be viewed.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
272,272,"Some of authentication transactions records are showing as failed, what should I do?","For every failed authentication transaction record, specific error code is assigned. Please check the details of error code number against that failed authentication transaction to know the reason of failure.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
273,273,"If I have not performed some of the transactions listed in the records, what should I do?","If the listed authentication transaction is not performed by the Aadhaar number holder, resident may contact the respective Authentication User Agency (AUA) for further details.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
274,274,What is UIDAI Response Code in the authentication records?,"For every authentication transaction performed by an Aadhaar number holder, UIDAI generates a unique code to identify the transactions and sends the same to Authentication User Agency (AUA) along with the response. This Response Code is helpful to uniquely identify the transaction by AUA as well as UIDAI and may be used for any further enquiry from AUA by the Aadhaar number holder.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
275,275,What is AUA Transaction ID in the authentication records?,"For every authentication transaction performed by an Aadhaar number holder, AUA generates a unique Transaction ID to identify the transaction and sends the same to UIDAI as part of the authentication request. This Transaction ID along with Response Code can be used for any further enquiry from AUA by the Aadhaar number holder.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
276,276,What is Auth Modality?,"UIDAI provides authentication facility with different modes such as demographic, biometric (fingerprint , Iris or face) or One Time Password (OTP). Auth Modality shows the mode of authentication used to perform that specific authentication transaction.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
277,277,What are Error Codes?,"An Error Code provide the details/reason for the failure of authentication transaction.  For Error Codes details, resident may refer to Aadhaar Authentication API document published on UIDAI website.
Below are Error Code List -
“100” – Personal information demographic data did not match.
“200” – Personal address demographic data did not match.
“300” – Biometric data did not match.
“310” – Duplicate fingers used.
“311” – Duplicate Irises used.
“312” – FMR and FIR cannot be used in same transaction.
“313” – Single FIR record contains more than one finger.
“314” – Number of FMR/FIR should not exceed 10.
“315” – Number of IIR should not exceed 2.
“316” – Number of FID should not exceed 1.
“330” – Biometrics locked by Aadhaar holder.
“400” – Invalid OTP value.
“402” – “txn” value did not match with “txn” value used in Request OTP API.
“500” – Invalid encryption of session key.
“501” – Invalid certificate identifier in “ci” attribute of “Skey”.
“502” – Invalid encryption of PID.
“503” – Invalid encryption of Hmac.
“504” – Session key re-initiation required due to expiry or key out of sync.
“505” – Synchronized Key usage not allowed for the AUA.
“510” – Invalid Auth XML format.
“511” – Invalid PID XML format.
“512” – Invalid Aadhaar holder consent in “rc” attribute of “Auth”.
“520” – Invalid “tid” value.
“521” – Invalid “dc” code under Meta tag.
“524” – Invalid “mi” code under Meta tag.
“527” – Invalid “mc” code under Meta tag.
“530” – Invalid authenticator code.
“540” – Invalid Auth XML version.
“541” – Invalid PID XML version.
“542” – AUA not authorized for ASA. This error will be returned if AUA and ASA do not have linking in the portal.
“543” – Sub-AUA not associated with “AUA”. This error will be returned if Sub-AUA specified in “sa” attribute is not added as “Sub-AUA” in portal.
“550” – Invalid “Uses” element attributes.
“551” – Invalid “tid” value.
“553” – Registered devices currently not supported. This feature is being implemented in a phased manner.
“554” – Public devices are not allowed to be used.
“555” – rdsId is invalid and not part of certification registry.
“556” – rdsVer is invalid and not part of certification registry.
“557” – dpId is invalid and not part of certification registry.
“558” – Invalid dih.
“559” – Device Certificate has expired.
“560” – DP Master Certificate has expired.
“561” – Request expired (“Pid->ts” value is older than N hours where N is a configured threshold in authentication server).
“562” – Timestamp value is future time (value specified “Pid->ts” is ahead of authentication server time beyond acceptable threshold).
“563” – Duplicate request (this error occurs when exactly same authentication request was re-sent by AUA).
“564” – HMAC Validation failed.
“565” – AUA license has expired.
“566” – Invalid non-decryptable license key.
“567” – Invalid input (this error occurs when unsupported characters were found in Indian language values, “lname” or “lav”).
“568” – Unsupported Language.
“569” – Digital signature verification failed (means that authentication request XML was modified after it was signed).
“570” – Invalid key info in digital signature (this means that certificate used for signing the authentication request is not valid – it is either expired, or does not belong to the AUA or is not created by a well-known Certification Authority).
“571” – PIN requires reset.
“572” – Invalid biometric position.
“573” – Pi usage not allowed as per license.
“574”– Pa usage not allowed as per license.
“575”– Pfa usage not allowed as per license.
“576” - FMR usage not allowed as per license.
“577” – FIR usage not allowed as per license.
“578” – IIR usage not allowed as per license.
“579” – OTP usage not allowed as per license.
“580” – PIN usage not allowed as per license.
“581” – Fuzzy matching usage not allowed as per license.
“582” – Local language usage not allowed as per license.
“586” – FID usage not allowed as per license. This feature is being implemented in a phased manner.
“587” – Name space not allowed.
“588” – Registered device not allowed as per license.
“590” – Public device not allowed as per license.
“710” – Missing “Pi” data as specified in “Uses”.
“720” – Missing “Pa” data as specified in “Uses”.
“721” – Missing “Pfa” data as specified in “Uses”.
“730” – Missing PIN data as specified in “Uses”.
“740” – Missing OTP data as specified in “Uses”.
“800” – Invalid biometric data.
“810” – Missing biometric data as specified in “Uses”.
“811” – Missing biometric data in CIDR for the given Aadhaar number.
“812” – Aadhaar holder has not done “Best Finger Detection”. Application should initiate BFD to help Aadhaar holder identify their best fingers.
“820” – Missing or empty value for “bt” attribute in “Uses” element.
“821” – Invalid value in the “bt” attribute of “Uses” element.
“822” – Invalid value in the “bs” attribute of “Bio” element within “Pid”.
“901” – No authentication data found in the request (this corresponds to a scenario wherein none of the auth data – Demo, Pv, or Bios – is present).
“902” – Invalid “dob” value in the “Pi” element (this corresponds to a scenarios wherein “dob” attribute is not of the format “YYYY” or “YYYYMM-DD”, or the age is not in valid range).
“910” – Invalid “mv” value in the “Pi” element.
“911” – Invalid “mv” value in the “Pfa” element.
“912” – Invalid “ms” value.
“913” – Both “Pa” and “Pfa” are present in the authentication request (Pa and Pfa are mutually exclusive).
“930 to 939” – Technical error that are internal to authentication server.
“940” – Unauthorized ASA channel.
“941” – Unspecified ASA channel.
“950” – OTP store related technical error.
“951” – Biometric lock related technical error.
“980” – Unsupported option.
“995” – Aadhaar suspended by competent authority.
“996” – Aadhaar cancelled (Aadhaar is no in authenticable status).
“997” – Aadhaar suspended (Aadhaar is not in authenticatable status).
“998” – Invalid Aadhaar Number.
“999” – Unknown error.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
278,278,What is Aadhaar QR Code? What information does QR Code contain?,"Aadhaar QR code is Quick Response code digitally signed by UIDAI and used for offline verification of identity. It is present on all forms of Aadhaar like e-Aadhaar, Aadhaar letter, Aadhaar PVC card and mAadhaar. It contains last 4 digits of Aadhaar number, name, address, gender, date of birth and photograph of the Aadhaar number holder. It also contains masked mobile number and email-id of the Aadhaar number holder.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
279,279,What are the benefits of Aadhaar QR code?,Aadhaar QR code can be used for verification of identity in offline mode. 'Aadhaar QR Code Scanner' app for smartphones and Windows based QR code scanning application  works in Offline mode and does not require internet for scanning purpose.,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
280,280,How can someone read Aadhaar QR code?,Aadhaar QR code can ONLY be read using: 1. mAadhaar app available on Google Play Store and app store2. Aadhaar QR Scanner app available on Google Play Store and app store 3. Windows based application available on UIDAI official website - https://uidai.gov.in/en/ecosystem/authentication-devices-documents/qr-code-reader.html,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
281,281,How Windows QR code Scanner Application will work?,"Post installation of UIDAI’s QR code reader application, QR code of e-Aadhaar need to be scanned using the physical scanner in line with UIDAI Specifications. The application will display the demographic details of resident once the QR Code is digitally verified using Windows QR code scanner.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
282,282,Who all can use secure QR code?,"Any Aadhaar Holder or any User/Service Agencies like Banks, AUAs, KUAs, Hotels etc can use this facility for offline verification of the data in Aadhaar.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
283,283,What is Aadhaar Paperless Offline e-KYC?,"It is a secure sharable document which can be used by any Aadhaar number holder for offline verification of Identification.
A resident desirous of using this facility shall generate his/her digitally signed Offline XML by accessing UIDAI website. The Offline XML will contain Name, Address, Photo, Gender, DOB, hash of registered Mobile Number, hash of registered Email Address and reference id which contains last 4 digits of Aadhaar Number followed by time stamp. It will provide Offline Aadhaar Verification facility to service providers/Offline Verification Seeking Entity (OVSE) without the need to collect or store Aadhaar number.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
284,284,How to generate Offline Aadhaar XML?,"The process of generating Aadhaar Offline e-KYC is explained below:
• Go to URL https://myaadhaar.uidai.gov.in/offline-ekyc• Enter ‘Aadhaar Number’ or ‘VID’ and enter mentioned ‘Security Code’ in screen, then click on ‘Send OTP’. The OTP will be sent to the registered Mobile Number for the given Aadhaar number or VID. OTP will be available on m-Aadhaar mobile Application of UIDAI. Enter the OTP received. Enter a Share Code which be the password for the ZIP file and click on ‘Download’ button• The Zip file containing the digitally signed XML will be downloaded to device wherein the above mentioned steps have been performed.
The Offline Aadhaar XML can also be downloaded from mAadhaar app.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
285,285,Who are the users of this Aadhaar Paperless Offline e-KYC?,Any Aadhaar number holder who desires to establish his/her identity to any service provider (OVSE) using digitally signed XML downloaded from UIDAI website can be a user of this service. The service provider should have provisions of providing this Aadhaar Paperless Offline e-KYC at their facility and do the offline verification,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
286,286,How to share this Paperless Offline eKYC document with the service provider?,Residents can share the XML ZIP file along with the Share Code to the service provider as per their mutual convenience.,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
287,287,How will service providers use Aadhaar Offline e-KYC?,"The process of Aadhaar Offline e-KYC Verification by Service Provider is:


Once service provider obtains the ZIP file, it extracts the XML file using the password (share code) provided by the resident.
The XML file will contain the demographic details such as Name, DOB, Gender and Address. Photo is in base 64 encoded format which can be rendered directly using any utility or plane HTML page. Email Address and Mobile number are hashed.
Service Provider has to collect Email Address and Mobile number from residents and perform below operations in order to validate the hash:
Mobile Number:
Hashing logic: Sha256(Sha256(Mobile+ShareCode))*number of times of last digit of Aadhaar Number
Example :  Mobile number: 9800000002 Aadhaar Number: 123412341234 Share Code: Abc@123 Sha256(Sha256(9800000002+ Abc@123))*4In case if Aadhaar Number ends with Zero or 1 (123412341230/1) it will be hashed one time.Sha256(Sha256(9800000002+ Abc@123))*1
Email Address:
Hashing Logic: This is a simple SHA256 hash of the email without any salt

Entire XML is digitally signed and Service Provider can validate the XML file using the signature and public key available on the UIDAI website.(https://uidai.gov.in/images/uidai_offline_publickey_26022019.cer).",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
288,288,Can this Offline Paperless eKYC document be shared to other entities by the Service Provider?,"Service Providers shall not share, publish or display either XML or Share Code or its contents with anyone else. Any non-compliance of these actions shall invite actions under Sections 29(2), 29 (3), 29(4) and 37 of The Aadhaar Act, 2016 (as amended) and sub regulation 1A of regulation 25, regulation 14A of The Aadhaar (Authentication and Offline Verification) Regulation, 2021 and regulation 6 and 7 of The Aadhaar (Sharing of Information) Regulation, 2016.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
289,289,How this Aadhaar Offline Paperless eKYC document is different from the other identification documents produced offline by residents?,"Identity verification can simply be accomplished by providing an identity document like PAN card, Passport etc to the service provider. However, all these documents, which may be used for identification can still be forged and faked which may or may not be possible to verify offline instantaneously. The document verifier has no technological means to verify the authenticity of the document or the information it contains and has to trust the document producer. Whereas, the XML file generated by the Aadhaar number holder using Aadhaar Paperless Offline e-KYC is digitally signed document using UIDAI digital signature. Thus, the service provider can verify the demographic contents of the file and certify it to be authentic when doing the offline verification",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
290,290,Where can I find the Public Certificate for Digital Signature validation?,Public certificate for Digital signature validation can be downloaded from here.,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
291,291,What is Biometric Locking?,Biometric Locking/Unlocking is a service that allows an Aadhaar holder to lock and temporarily unlock their biometrics. This facility aims to strengthen privacy and confidentiality of Resident's Biometrics Data.,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
292,292,What all Biometric data can be locked?,"Fingerprint, iris and Face as a biometric moadlity will be locked and after biometric locking, Aadhaar holder will not be able to perform the Aadhaar authentication using the above mentioned biometric modalities.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
293,293,What happens when Biometric is locked?,"Locked Biometrics confirms that Aadhaar holder will not be able to use Biometrics (fingerprints/iris/Face) for authentication, it is a safety feature to stop any kind of biometric authentication.It also ensures that any entity by any means cannot perform biometric based Aadhaar authentication for that Aadhaar holder.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
294,294,How to Unlock (locked)Biometrics?,"Once resident enables Biometric Locking system their biometric remains locked till the Aadhaar Holder chose any below mentioned option:
Unlock it (which is temporary )orDisable the Locking system
The biometric unlock can be done by resident either by visiting UIDAI website, enrolment centre, Aadhaar Seva Kendra(ASK), through m-Aadhaar.
Note: Registered Mobile Number is essential to avail this service. In case your mobile number is not registered with Aadhaar visit the nearest Enrolment Centre/Mobile Update End Point.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
295,295,Who and when to lock Biometrics?,"Aadhaar number holders who have registered mobile number may lock their biometrics. This facility aims to strengthen privacy and confidentiality of Resident's Biometrics Data
After locking biometrics if a UID is used for invoking any of the Authentication services using a biometric modality (Fingerprint/Iris/Face) a specific error code '330' indicating biometrics are locked will be displayed and the entity will not be able to perform the biometric authentication.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
296,296,What is Aadhaar (UID) Lock & Unlock?,"For a resident, security and privacy of personal data is always a primary concern. To strengthen the security of his/her Aadhaar number and to provide control to the resident, UIDAI provide a mechanism of locking and unlocking Aadhaar number (UID).
Resident can lock his or her Aadhaar (UID) via UIDAI website (www.myaadhaar.uidai.gov.in) or through mAadhaar app.
By doing this Resident cannot perform any sort of Authentication using UID, UID Token & VID for Biometrics, Demographic & OTP modality
If resident wants to unlock UID he/she can do so by using latest VID, through UIDAI website or mAadhaar app. After unlocking Aadhaar (UID), resident can perform authentication using UID, UID Token & VID.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
297,297,How can resident Lock UID?,"For Locking UID, Resident should have 16 digit VID number and it's a pre-requisite for locking. If resident don't have VID can generate via SMS Service or UIDAI website (www.myaadhaar.uidai.gov.in).
SMS Service. GVID space last 4 or 8 digit of UID. SMS to 1947. Ex- GVID 1234.
Resident may visit UIDAI website (https://resident.uidai.gov.in/aadhaar-lockunlock), Under My Aadhaar tab, Click on Aadhaar Lock & Unlock services. Select UID Lock Radio Button and enter UID Number, Full Name, and Pin Code as in latest details and enter Security code. Click on Send OTP or select TOTP and click on submit. Your UID will be locked successfully.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
298,298,How can resident Unlock UID?,"For Unlocking UID resident should have latest 16 digit VID and if resident forgot 16 digit VID he can retrieve latest VID through SMS services
RVID Space last 4 or 8 digit of UID. SMS to 1947. Ex- RVID 1234
To unlock UID, resident may visit UIDAI website (https://resident.uidai.gov.in/aadhaar-lockunlock), select Unlock radio button, Enter Latest VID and security Code and click on send OTP or select TOTP and click on Submit. Your UID will be unlocked successfully. Resident may also use Aadhaar lock or unlock service through mAadhaar app.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
299,299,I forgot my VID. How can I get it after locking UID?,"After Locking UID if resident forgot VID, Resident can make use of SMS service to Retrieve 16 digit VID. Resident will receive VID on his/her register mobile number.
Send SMS to 1947 from Aadhaar Register mobile number, RVID Space last 4 or 8 digit of UID.
Ex:- RVID 1234",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
300,300,What is Aadhaar SMS Service? ,"Unique Identification Authority of India (UIDAI) has introduced a service called “Aadhaar Services on SMS” which enables Aadhaar Number holders, who do not have access to internet/resident portal/m-Aadhaar etc. to use various Aadhaar services like Virtual ID generation/retrieval, Aadhaar lock/unlock etc. through SMS.

Resident can avail Aadhaar Service by sending SMS from Registered Mobile to 1947.
Resident can perform VID Generation/Retrieval, Lock/Unlock Aadhaar Number etc. by sending an SMS in the given format to 1947 from their registered mobile number.
For More details on Virtual ID (VID) please visit: https://uidai.gov.in/contact-support/have-any-question/284-faqs/aadhaar-online-services/virtual-id-vid.html",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
301,301,Do I need to generate OTP for all Aadhaar SMS services?,"OTP Auhtentication is must for Aadhaar Lock/unlock and Biometric Lock/unlock Function. You don’t need OTP for VID Generation & Retrieval function.
To get OTP send SMS -> GETOTPLAST 4 or 8 DIGITs of Aadhaar Number 
Example - GETOTP 1234.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
302,302,How to Lock/Unlock Aadhaar Number with SMS service?,"For Locking Aadhaar Number:
Send OTP request as -> GETOTPLAST 4 or 8 DIGITs of Aadhaar Number Then send Locking Request as -> LOCKUIDLast 4 or 8 DIGIT of Aadhaar Number6 DIGIT OTP
You will get a confirmation message for your request. Once it is locked you will not be able to perform any form of Authentication (Biometric, Demographic or OTP) using your Aadhaar Number. However, you can still use your latest Virtual ID for performing Authentication.
For Un-Locking Aadhaar Number you must have your latest Virtual ID.
Send OTP request with last 6 or 10 DIGITs of Virtual ID number as ->
GETOTPLAST 6 or 10 DIGITs Virtual ID 
Then send Unlocking Request as -> UNLOCKUIDLAST 6 or 10 DIGIT Virtual ID 6 DIGIT OTP",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
303,303,My SMS is not being sent. What should I do?,"Please check if your SMS service is working properly. In case of any issue with respect to the SMS not being sent, kindly contact your telecom service provider. It may be a case of bad network or non-functioning SMS service or low Balance etc",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
304,304,How Aadhaar PVC Card is different from Aadhaar Letter?,Aadhaar letter is laminated paper based document issued to the Aadhaar number holders after enrolment or update.  Aadhaar PVC Card is PVC based durable and easy to carry card with multiple security features.  Aadhaar PVC card is equally valid.,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
305,305,How many days will it take to receive “Aadhaar PVC Card” after creating successful request?,"After receiving order for Aadhaar PVC Card from the Aadhaar number holder, UIDAI  hands over printed Aadhaar Card to DoP within 5 working days (excluding the date of request). Aadhaar PVC Card is delivered via SPEED POST Service of India Post in line with existing delivery norms to the address registered  in aadhaar database. An Aadhaar Number holder may track delivery status using DoP Tracking Services on https://www.indiapost.gov.in/_layouts/15/dop.portal.tracking/trackconsignment.aspx",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
306,306,What are the different forms of Aadhaar and what are their features?,"The different forms of Aadhaar are Aadhaar Letter, Aadhaar PVC card, eAadhaar and mAadhaar. All forms of Aadhaar are equally valid and acceptable.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
307,307,Can I choose to have and use any form of Aadhaar?,Yes.,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
308,308,What is “Order Aadhaar PVC Card” service?,“Order Aadhaar PVC Card” is an online service launched by UIDAI which facilitates the Aadhaar holder to get their Aadhaar details printed on PVC card by paying nominal charges.,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
309,309,What are the security features of “Aadhaar PVC Card”?,This card contains security features like: 1. Tamper proof QR Code 2. Hologram 3. Micro text 4. Ghost image 5. Issue Date & Print Date 6. Guilloche Pattern 7. Embossed Aadhaar Logo,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
310,310,What are the charges to be paid for “Aadhaar PVC Card”?,Charges to be paid are Rs.50/- (Inclusive of GST & speed post charges).,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
311,311,How one can raise the request for “Aadhaar PVC Card”?,"""Aadhaar PVC Card"" request can be raised by visiting the UIDAI Official Website (https://www.uidai.gov.in or https://myaadhaar.uidai.gov.in/genricPVC ) or mAadhaar application.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
